Physics,Chemistry,Math,Computer,English,Total Marks,Percentages %,Grades,GPA,Final Results
11,48,47,15,4,125.0,25.0,NG,1.0,FAIL
3,77,5,97,42,224.0,44.8,C,1.7920000000000003,FAIL
99,34,20,36,64,253.0,50.6,C+,2.024,FAIL
58,21,39,37,2,157.0,31.4,NG,1.256,FAIL
49,45,65,92,43,294.0,58.8,C+,2.352,PASS
15,85,68,15,57,240.0,48.0,C,1.92,FAIL
61,85,32,27,31,236.0,47.2,C,1.888,FAIL
96,87,42,8,7,240.0,48.0,C,1.92,FAIL
84,79,54,87,90,394.0,78.8,B+,3.1519999999999997,PASS
30,94,34,12,40,210.0,42.0,C,1.68,FAIL
32,70,89,74,49,314.0,62.8,B,2.512,FAIL
97,59,95,26,11,288.0,57.6,C+,2.304,FAIL
37,10,19,56,55,177.0,35.4,C,1.416,FAIL
7,77,7,26,79,196.0,39.2,C,1.568,FAIL
74,12,81,47,40,254.0,50.8,C+,2.032,FAIL
1,12,19,55,74,161.0,32.2,NG,1.288,FAIL
52,82,10,15,25,184.0,36.8,C,1.472,FAIL
45,50,67,50,83,295.0,59.0,C+,2.36,PASS
71,16,25,69,26,207.0,41.4,C,1.656,FAIL
65,50,95,12,9,231.0,46.2,C,1.848,FAIL
45,29,4,13,89,180.0,36.0,C,1.44,FAIL
17,98,72,67,54,308.0,61.6,B,2.464,FAIL
17,25,42,40,37,161.0,32.2,NG,1.288,FAIL
82,61,94,72,74,383.0,76.6,B+,3.0639999999999996,PASS
3,55,79,83,6,226.0,45.2,C,1.808,FAIL
21,92,49,18,50,230.0,46.0,C,1.84,FAIL
90,75,30,38,27,260.0,52.0,C+,2.08,FAIL
86,25,8,49,27,195.0,39.0,C,1.56,FAIL
68,2,64,33,59,226.0,45.2,C,1.808,FAIL
66,99,65,13,68,311.0,62.2,B,2.488,FAIL
82,56,34,88,87,347.0,69.4,B,2.776,FAIL
15,19,40,53,1,128.0,25.6,NG,1.024,FAIL
24,4,85,34,56,203.0,40.6,C,1.624,FAIL
17,48,73,19,24,181.0,36.2,C,1.4479999999999997,FAIL
24,85,9,65,2,185.0,37.0,C,1.48,FAIL
18,49,8,88,75,238.0,47.6,C,1.9039999999999997,FAIL
82,72,39,82,5,280.0,56.0,C+,2.24,FAIL
97,50,41,79,11,278.0,55.6,C+,2.224,FAIL
12,26,96,0,17,151.0,30.2,NG,1.208,FAIL
22,34,34,49,4,143.0,28.6,NG,1.144,FAIL
40,57,95,93,86,371.0,74.2,B+,2.968,PASS
79,70,89,16,8,262.0,52.4,C+,2.096,FAIL
24,16,52,51,3,146.0,29.2,NG,1.168,FAIL
40,72,59,72,16,259.0,51.8,C+,2.072,FAIL
66,25,56,58,92,297.0,59.4,C+,2.376,FAIL
91,2,14,51,95,253.0,50.6,C+,2.024,FAIL
68,35,73,60,93,329.0,65.8,B,2.6319999999999997,PASS
71,45,66,32,91,305.0,61.0,B,2.44,FAIL
91,97,50,11,50,299.0,59.8,C+,2.392,FAIL
6,74,91,5,56,232.0,46.4,C,1.8560000000000003,FAIL
87,69,81,54,85,376.0,75.2,B+,3.008,PASS
76,49,19,4,47,195.0,39.0,C,1.56,FAIL
66,38,44,50,77,275.0,55.0,C+,2.2,PASS
57,1,92,74,6,230.0,46.0,C,1.84,FAIL
5,18,74,42,50,189.0,37.8,C,1.5119999999999998,FAIL
65,49,31,43,36,224.0,44.8,C,1.7920000000000003,FAIL
8,57,68,52,90,275.0,55.0,C+,2.2,FAIL
86,82,84,39,62,353.0,70.6,B+,2.824,PASS
99,61,70,26,47,303.0,60.6,B,2.424,FAIL
44,18,52,0,46,160.0,32.0,NG,1.28,FAIL
45,4,7,44,17,117.0,23.4,NG,0.936,FAIL
29,91,19,37,38,214.0,42.8,C,1.712,FAIL
69,78,89,73,1,310.0,62.0,B,2.48,FAIL
27,58,70,38,3,196.0,39.2,C,1.568,FAIL
79,79,58,73,54,343.0,68.6,B,2.744,PASS
13,48,92,8,73,234.0,46.8,C,1.872,FAIL
21,51,42,13,6,133.0,26.6,NG,1.064,FAIL
30,68,74,53,91,316.0,63.2,B,2.528,FAIL
59,82,13,11,9,174.0,34.8,NG,1.392,FAIL
10,19,48,5,22,104.0,20.8,NG,0.8320000000000001,FAIL
85,96,97,85,98,461.0,92.2,A+,3.688,PASS
80,14,11,56,82,243.0,48.6,C,1.944,FAIL
7,1,21,35,69,133.0,26.6,NG,1.064,FAIL
23,62,79,84,10,258.0,51.6,C+,2.064,FAIL
35,71,1,53,35,195.0,39.0,C,1.56,FAIL
68,41,65,16,93,283.0,56.6,C+,2.264,FAIL
75,63,53,19,81,291.0,58.2,C+,2.328,FAIL
93,95,53,79,0,320.0,64.0,B,2.56,FAIL
44,48,99,88,34,313.0,62.6,B,2.504,FAIL
19,30,90,37,52,228.0,45.6,C,1.824,FAIL
16,70,21,72,86,265.0,53.0,C+,2.12,FAIL
44,45,87,90,3,269.0,53.8,C+,2.152,FAIL
80,40,77,6,79,282.0,56.4,C+,2.256,FAIL
83,32,39,79,69,302.0,60.4,B,2.416,FAIL
82,68,80,73,46,349.0,69.8,B,2.792,PASS
