Physics,Chemistry,Math,Computer,Average Marks,Total Marks,Percentages %,Grades,Final Results
91,17,98,49,63.75,255.0,63.75,B,FAIL
27,65,64,52,52.0,208.0,52.0,C+,FAIL
5,55,57,77,48.5,194.0,48.5,C,FAIL
54,53,96,99,75.5,302.0,75.5,B+,PASS
65,1,34,64,41.0,164.0,41.0,C,FAIL
50,90,62,6,52.0,208.0,52.0,C+,FAIL
33,89,51,79,63.0,252.0,63.0,B,FAIL
88,33,97,7,56.25,225.0,56.25,C+,FAIL
72,0,14,89,43.75,175.0,43.75,C,FAIL
65,39,54,83,60.25,241.0,60.25,B,PASS
18,60,98,55,57.75,231.0,57.75,C+,FAIL
3,65,27,65,40.0,160.0,40.0,C,FAIL
0,51,71,84,51.5,206.0,51.5,C+,FAIL
17,28,32,35,28.0,112.0,28.0,NG,FAIL
79,43,15,60,49.25,197.0,49.25,C,FAIL
56,20,42,73,47.75,191.0,47.75,C,FAIL
9,41,9,69,32.0,128.0,32.0,NG,FAIL
56,46,60,13,43.75,175.0,43.75,C,FAIL
22,69,47,47,46.25,185.0,46.25,C,FAIL
36,91,15,20,40.5,162.0,40.5,C,FAIL
13,73,74,11,42.75,171.0,42.75,C,FAIL
70,88,19,4,45.25,181.0,45.25,C,FAIL
70,21,45,31,41.75,167.0,41.75,C,FAIL
48,83,18,51,50.0,200.0,50.0,C+,FAIL
8,41,66,84,49.75,199.0,49.75,C,FAIL
44,74,17,48,45.75,183.0,45.75,C,FAIL
86,35,37,83,60.25,241.0,60.25,B,PASS
24,41,87,97,62.25,249.0,62.25,B,FAIL
98,39,86,20,60.75,243.0,60.75,B,FAIL
70,43,66,68,61.75,247.0,61.75,B,PASS
62,37,65,62,56.5,226.0,56.5,C+,PASS
78,31,81,11,50.25,201.0,50.25,C+,FAIL
65,3,38,23,32.25,129.0,32.25,NG,FAIL
96,96,59,42,73.25,293.0,73.25,B+,PASS
97,7,14,36,38.5,154.0,38.5,C,FAIL
76,89,98,29,73.0,292.0,73.0,B+,FAIL
79,14,21,84,49.5,198.0,49.5,C,FAIL
1,40,19,10,17.5,70.0,17.5,NG,FAIL
60,32,99,90,70.25,281.0,70.25,B+,FAIL
86,43,25,90,61.0,244.0,61.0,B,FAIL
30,43,47,33,38.25,153.0,38.25,C,FAIL
61,40,26,76,50.75,203.0,50.75,C+,FAIL
31,29,68,50,44.5,178.0,44.5,C,FAIL
87,67,66,69,72.25,289.0,72.25,B+,PASS
87,72,1,99,64.75,259.0,64.75,B,FAIL
54,3,88,59,51.0,204.0,51.0,C+,FAIL
97,7,71,86,65.25,261.0,65.25,B,FAIL
86,91,42,80,74.75,299.0,74.75,B+,PASS
53,0,67,63,45.75,183.0,45.75,C,FAIL
56,18,8,41,30.75,123.0,30.75,NG,FAIL
27,43,34,96,50.0,200.0,50.0,C+,FAIL
25,3,16,5,12.25,49.0,12.25,NG,FAIL
93,92,68,46,74.75,299.0,74.75,B+,PASS
31,64,41,15,37.75,151.0,37.75,C,FAIL
53,82,73,27,58.75,235.0,58.75,C+,FAIL
52,69,97,38,64.0,256.0,64.0,B,PASS
61,38,33,88,55.0,220.0,55.0,C+,FAIL
74,22,83,38,54.25,217.0,54.25,C+,FAIL
70,20,60,47,49.25,197.0,49.25,C,FAIL
41,80,67,81,67.25,269.0,67.25,B,PASS
29,47,60,70,51.5,206.0,51.5,C+,FAIL
97,65,25,24,52.75,211.0,52.75,C+,FAIL
33,58,77,41,52.25,209.0,52.25,C+,FAIL
18,91,53,1,40.75,163.0,40.75,C,FAIL
96,43,8,99,61.5,246.0,61.5,B,FAIL
60,77,12,25,43.5,174.0,43.5,C,FAIL
42,63,57,57,54.75,219.0,54.75,C+,PASS
61,51,59,38,52.25,209.0,52.25,C+,PASS
94,3,0,22,29.75,119.0,29.75,NG,FAIL
14,48,20,48,32.5,130.0,32.5,NG,FAIL
78,16,27,34,38.75,155.0,38.75,C,FAIL
61,82,34,80,64.25,257.0,64.25,B,FAIL
84,35,27,79,56.25,225.0,56.25,C+,FAIL
22,95,39,79,58.75,235.0,58.75,C+,FAIL
7,72,82,29,47.5,190.0,47.5,C,FAIL
12,82,11,73,44.5,178.0,44.5,C,FAIL
59,47,34,88,57.0,228.0,57.0,C+,FAIL
14,23,48,32,29.25,117.0,29.25,NG,FAIL
38,85,51,44,54.5,218.0,54.5,C+,PASS
84,89,13,5,47.75,191.0,47.75,C,FAIL
13,43,12,47,28.75,115.0,28.75,NG,FAIL
72,20,24,23,34.75,139.0,34.75,NG,FAIL
88,84,68,26,66.5,266.0,66.5,B,FAIL
12,5,15,75,26.75,107.0,26.75,NG,FAIL
30,55,74,69,57.0,228.0,57.0,C+,FAIL
13,16,79,87,48.75,195.0,48.75,C,FAIL
18,27,34,73,38.0,152.0,38.0,C,FAIL
93,51,26,11,45.25,181.0,45.25,C,FAIL
50,33,71,73,56.75,227.0,56.75,C+,FAIL
65,39,94,61,64.75,259.0,64.75,B,PASS
34,89,54,59,59.0,236.0,59.0,C+,FAIL
24,30,44,34,33.0,132.0,33.0,NG,FAIL
56,11,51,26,36.0,144.0,36.0,C,FAIL
91,82,97,62,83.0,332.0,83.0,A,PASS
86,75,67,44,68.0,272.0,68.0,B,PASS
38,70,96,89,73.25,293.0,73.25,B+,PASS
66,25,25,18,33.5,134.0,33.5,NG,FAIL
46,62,20,76,51.0,204.0,51.0,C+,FAIL
52,45,12,41,37.5,150.0,37.5,C,FAIL
42,0,92,75,52.25,209.0,52.25,C+,FAIL
8,62,67,53,47.5,190.0,47.5,C,FAIL
21,74,66,31,48.0,192.0,48.0,C,FAIL
36,26,67,51,45.0,180.0,45.0,C,FAIL
63,0,51,82,49.0,196.0,49.0,C,FAIL
17,75,15,28,33.75,135.0,33.75,NG,FAIL
27,50,57,93,56.75,227.0,56.75,C+,FAIL
19,16,53,20,27.0,108.0,27.0,NG,FAIL
1,23,47,71,35.5,142.0,35.5,C,FAIL
6,17,41,65,32.25,129.0,32.25,NG,FAIL
89,33,15,41,44.5,178.0,44.5,C,FAIL
53,23,59,88,55.75,223.0,55.75,C+,FAIL
10,28,72,37,36.75,147.0,36.75,C,FAIL
88,25,87,54,63.5,254.0,63.5,B,FAIL
82,62,94,60,74.5,298.0,74.5,B+,PASS
31,47,89,66,58.25,233.0,58.25,C+,FAIL
95,82,16,23,54.0,216.0,54.0,C+,FAIL
54,31,28,39,38.0,152.0,38.0,C,FAIL
24,47,96,90,64.25,257.0,64.25,B,FAIL
40,64,20,3,31.75,127.0,31.75,NG,FAIL
15,93,81,30,54.75,219.0,54.75,C+,FAIL
82,32,40,51,51.25,205.0,51.25,C+,FAIL
42,24,39,65,42.5,170.0,42.5,C,FAIL
86,47,42,25,50.0,200.0,50.0,C+,FAIL
62,36,14,72,46.0,184.0,46.0,C,FAIL
86,56,80,62,71.0,284.0,71.0,B+,PASS
29,73,65,63,57.5,230.0,57.5,C+,FAIL
57,51,7,79,48.5,194.0,48.5,C,FAIL
97,61,46,7,52.75,211.0,52.75,C+,FAIL
74,0,81,51,51.5,206.0,51.5,C+,FAIL
26,25,12,75,34.5,138.0,34.5,NG,FAIL
46,79,59,1,46.25,185.0,46.25,C,FAIL
